Co,County Name,AEA,Dist,Bldg,District Name,Building Name,PK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Building Total,Hispanic Male,Hispanic Female,Hispanic Total,Native American Male,Native American Female,Native American Total,Asian Male,Asian Female,Asian Total,Black Male,Black Female,Black Total,Pacific Islander Male,Pacific Islander Female,Pacific Islander Total,White Male,White Female,White Total,Multi-Race Male,Multi-Race Female,Multi-Race Total,Total Male,Total Female
77,Polk,11,5805,0418,Saydel,Cornell Elementary School,50,96,81,98,87,90,0,0,0,0,0,0,0,0,502,28,23,51,1,0,1,3,1,4,8,7,15,1,0,1,216,206,422,3,5,8,260,242
81,Sac,05,5823,0172,Schaller-Crestland,Schaller-Crestland Elementary,40,31,35,27,30,19,20,0,0,0,0,0,0,0,202,18,22,40,0,0,0,0,0,0,1,1,2,0,0,0,87,73,160,0,0,0,106,96
81,Sac,05,5823,0209,Schaller-Crestland,Schaller-Crestland M.S. Ridge View Middle School,0,0,0,0,0,0,0,54,59,47,0,0,0,0,160,12,6,18,0,1,1,0,0,0,0,0,0,0,0,0,70,71,141,0,0,0,82,78
24,Crawford,12,5832,0172,Schleswig,Schleswig Middle-School,0,0,0,0,0,0,16,22,12,26,0,0,0,0,76,4,9,13,0,0,0,0,0,0,1,0,1,0,0,0,35,27,62,0,0,0,40,36
24,Crawford,12,5832,0418,Schleswig,Schleswig Elementary School,1,31,23,22,15,25,0,0,0,0,0,0,0,0,117,7,14,21,0,0,0,0,0,0,1,1,2,0,0,0,40,54,94,0,0,0,48,69
55,Kossuth,05,5868,0409,Sentral,North Union Elementary School - Sentral Campus,26,40,37,23,36,29,35,0,0,0,0,0,0,0,226,2,4,6,0,0,0,1,1,2,0,1,1,0,0,0,106,107,213,1,3,4,110,116
97,Woodbury,12,5877,0172,Sergeant Bluff-Luton,Sergeant Bluff-Luton Senior High School,0,0,0,0,0,0,0,0,0,0,110,113,113,115,451,7,7,14,0,1,1,10,8,18,4,5,9,0,0,0,203,204,407,0,2,2,224,227
97,Woodbury,12,5877,0409,Sergeant Bluff-Luton,Sergeant Bluff-Luton Primary School,0,139,103,119,0,0,0,0,0,0,0,0,0,0,361,4,8,12,4,0,4,3,3,6,1,4,5,0,0,0,163,157,320,11,3,14,186,175
97,Woodbury,12,5877,0418,Sergeant Bluff-Luton,Sergeant Bluff-Luton Middle School,0,0,0,0,0,0,0,127,119,122,0,0,0,0,368,7,7,14,0,3,3,7,5,12,3,9,12,0,0,0,175,150,325,1,1,2,193,175
97,Woodbury,12,5877,0427,Sergeant Bluff-Luton,Sergeant Bluff-Luton Elementary School,0,0,0,0,119,140,124,0,0,0,0,0,0,0,383,9,4,13,4,4,8,5,5,10,3,3,6,0,0,0,188,158,346,0,0,0,209,174
97,Woodbury,12,5877,0802,Sergeant Bluff-Luton,Creative Preschool,65,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,34,27,61,0,0,0,36,29
