Co,County Name,AEA,Dist,Bldg,District Name,Building Name,PK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Building Total,Hispanic Male,Hispanic Female,Hispanic Total,Native American Male,Native American Female,Native American Total,Asian Male,Asian Female,Asian Total,Black Male,Black Female,Black Total,Pacific Islander Male,Pacific Islander Female,Pacific Islander Total,White Male,White Female,White Total,Multi-Race Male,Multi-Race Female,Multi-Race Total,Total Male,Total Female
57,Linn,10,1053,0127,Cedar Rapids,Metro High School,0,0,0,0,0,0,0,0,0,0,58,74,79,125,336,6,6,12,0,0,0,1,0,1,37,42,79,0,0,0,119,103,222,9,13,22,172,164
57,Linn,10,1053,0209,Cedar Rapids,Franklin Middle School,0,0,0,0,0,0,0,219,193,231,0,0,0,0,643,13,17,30,2,3,5,2,7,9,43,45,88,1,0,1,239,231,470,25,15,40,325,318
57,Linn,10,1053,0214,Cedar Rapids,Harding Middle School,0,0,0,0,0,0,0,279,292,312,0,0,0,0,883,26,17,43,1,0,1,10,17,27,30,44,74,2,2,4,355,355,710,7,17,24,431,452
57,Linn,10,1053,0218,Cedar Rapids,McKinley Middle School,0,0,0,0,0,0,0,192,192,172,0,0,0,0,556,11,16,27,0,2,2,3,3,6,75,68,143,0,0,0,173,167,340,17,21,38,279,277
57,Linn,10,1053,0227,Cedar Rapids,Roosevelt Middle School,0,0,0,0,0,0,0,188,184,192,0,0,0,0,564,27,19,46,1,1,2,4,1,5,61,51,112,2,1,3,194,171,365,19,12,31,308,256
57,Linn,10,1053,0232,Cedar Rapids,Taft Middle School,0,0,0,0,0,0,0,204,203,208,0,0,0,0,615,6,13,19,0,0,0,8,4,12,18,16,34,1,1,2,272,255,527,11,10,21,316,299
57,Linn,10,1053,0236,Cedar Rapids,Wilson Middle School,0,0,0,0,0,0,0,129,136,114,0,0,0,0,379,18,10,28,2,2,4,3,1,4,29,29,58,0,0,0,141,126,267,9,9,18,202,177
57,Linn,10,1053,0418,Cedar Rapids,Arthur Elementary School,0,61,52,61,59,61,59,0,0,0,0,0,0,0,353,6,6,12,0,0,0,2,2,4,16,24,40,0,0,0,135,131,266,12,19,31,171,182
57,Linn,10,1053,0431,Cedar Rapids,Cleveland Elementary School,36,71,59,56,46,53,60,0,0,0,0,0,0,0,381,15,18,33,1,1,2,4,1,5,38,31,69,2,1,3,121,127,248,9,12,21,190,191
57,Linn,10,1053,0433,Cedar Rapids,Coolidge Elementary School,37,113,60,70,65,74,72,0,0,0,0,0,0,0,491,13,9,22,0,0,0,5,9,14,6,10,16,0,0,0,232,183,415,9,15,24,265,226
57,Linn,10,1053,0445,Cedar Rapids,Erskine Elementary School,0,101,65,55,55,89,55,0,0,0,0,0,0,0,420,7,6,13,1,0,1,3,3,6,24,24,48,0,0,0,182,132,314,20,18,38,237,183
57,Linn,10,1053,0463,Cedar Rapids,Garfield Elementary School,32,41,33,32,46,35,44,0,0,0,0,0,0,0,263,10,10,20,1,1,2,0,1,1,17,16,33,0,0,0,93,84,177,12,18,30,133,130
57,Linn,10,1053,0481,Cedar Rapids,Grant Wood Elementary School,0,70,50,54,56,55,55,0,0,0,0,0,0,0,340,7,9,16,0,1,1,3,4,7,54,46,100,0,0,0,102,86,188,12,16,28,178,162
57,Linn,10,1053,0490,Cedar Rapids,Harrison Elementary School,65,50,52,42,53,42,43,0,0,0,0,0,0,0,347,8,10,18,0,1,1,1,0,1,25,25,50,0,0,0,123,125,248,16,13,29,173,174
57,Linn,10,1053,0502,Cedar Rapids,Hiawatha Elementary School,36,76,56,62,70,67,60,0,0,0,0,0,0,0,427,32,33,65,0,0,0,14,5,19,15,15,30,2,1,3,141,152,293,9,8,17,213,214
57,Linn,10,1053,0505,Cedar Rapids,Hoover Elementary School,37,69,60,53,65,52,45,0,0,0,0,0,0,0,381,22,24,46,0,1,1,3,1,4,61,46,107,2,2,4,106,82,188,13,18,31,207,174
57,Linn,10,1053,0517,Cedar Rapids,Johnson Elementary School,37,52,53,52,45,52,49,0,0,0,0,0,0,0,340,12,11,23,0,0,0,2,2,4,99,75,174,0,0,0,58,53,111,15,13,28,186,154
57,Linn,10,1053,0526,Cedar Rapids,Kenwood Elementary School,41,66,59,47,40,49,41,0,0,0,0,0,0,0,343,16,22,38,2,2,4,4,3,7,14,17,31,1,1,2,111,121,232,16,13,29,164,179
57,Linn,10,1053,0544,Cedar Rapids,Madison Elementary School,0,40,48,40,48,31,55,0,0,0,0,0,0,0,262,6,6,12,0,0,0,2,0,2,12,10,22,1,0,1,96,104,200,12,13,25,129,133
57,Linn,10,1053,0558,Cedar Rapids,Nixon Elementary School,67,93,51,49,56,47,59,0,0,0,0,0,0,0,422,16,10,26,2,0,2,6,4,10,15,21,36,0,0,0,170,151,321,18,9,27,227,195
57,Linn,10,1053,0569,Cedar Rapids,Pierce Elementary School,0,56,69,55,72,74,79,0,0,0,0,0,0,0,405,4,6,10,0,0,0,7,7,14,24,24,48,0,0,0,151,158,309,9,15,24,195,210
57,Linn,10,1053,0580,Cedar Rapids,Taylor Elementary School,47,44,53,43,38,34,41,0,0,0,0,0,0,0,300,8,9,17,0,2,2,0,0,0,39,34,73,0,0,0,101,83,184,14,10,24,162,138
57,Linn,10,1053,0589,Cedar Rapids,Truman Elementary School,0,45,47,51,57,66,58,0,0,0,0,0,0,0,324,7,5,12,0,1,1,2,1,3,18,10,28,1,0,1,119,135,254,15,10,25,162,162
57,Linn,10,1053,0608,Cedar Rapids,Van Buren Elementary School,0,70,61,53,48,52,59,0,0,0,0,0,0,0,343,39,39,78,0,0,0,6,2,8,14,26,40,1,2,3,93,102,195,8,11,19,161,182
57,Linn,10,1053,0610,Cedar Rapids,Grant Elementary School,0,74,67,66,55,65,58,0,0,0,0,0,0,0,385,7,14,21,0,0,0,1,1,2,28,23,51,0,0,0,126,165,291,9,11,20,171,214
57,Linn,10,1053,0616,Cedar Rapids,Wright Elementary School,49,56,52,57,49,53,48,0,0,0,0,0,0,0,364,12,12,24,1,2,3,4,4,8,37,31,68,0,1,1,132,98,230,16,14,30,202,162
57,Linn,10,1053,0627,Cedar Rapids,Jackson Elementary School,21,46,55,59,70,56,49,0,0,0,0,0,0,0,356,7,3,10,0,0,0,2,8,10,4,7,11,0,0,0,155,145,300,11,14,25,179,177
57,Linn,10,1053,0636,Cedar Rapids,Viola Gibson Elementary School,15,69,68,88,82,98,82,0,0,0,0,0,0,0,502,4,6,10,0,0,0,4,4,8,14,5,19,0,0,0,230,231,461,4,0,4,256,246
57,Linn,10,1053,0806,Cedar Rapids,KinderCare,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,3,4,0,3,3,0,1,1,0,2,2,0,0,0,17,13,30,0,0,0,18,22
57,Linn,10,1053,0811,Cedar Rapids,St. Matthew's Preschool,61,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,3,3,0,0,0,0,4,4,1,0,1,0,0,0,21,32,53,0,0,0,22,39
57,Linn,10,1053,0816,Cedar Rapids,Trinity Lane,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,7,6,13,0,2,2,10,8
57,Linn,10,1053,0823,Cedar Rapids,Linn County Child Development Center,33,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,1,4,0,0,0,0,0,0,13,3,16,0,0,0,7,6,13,0,0,0,23,10
57,Linn,10,1053,0824,Cedar Rapids,Lovely Lane Preschool,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,10,18,0,0,0,8,11
57,Linn,10,1062,0000,Center Point-Urbana,Center Point-Urbana Comm School District,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1
57,Linn,10,1062,0172,Center Point-Urbana,Center Point-Urbana High School,0,0,0,0,0,0,0,0,0,0,112,88,107,108,415,0,2,2,0,0,0,1,1,2,3,2,5,1,0,1,209,189,398,4,3,7,218,197
57,Linn,10,1062,0209,Center Point-Urbana,Center Point-Urbana Middle School,0,0,0,0,0,0,0,106,110,100,0,0,0,0,316,0,2,2,0,0,0,0,1,1,1,2,3,0,0,0,146,154,300,4,6,10,151,165
57,Linn,10,1062,0409,Center Point-Urbana,Center Point-Urbana Primary School,98,138,108,111,0,0,0,0,0,0,0,0,0,0,455,6,3,9,0,1,1,2,0,2,2,0,2,0,0,0,227,202,429,6,6,12,243,212
57,Linn,10,1062,0418,Center Point-Urbana,Center Point-Urbana Intermediate School,0,0,0,0,117,116,129,0,0,0,0,0,0,0,362,2,1,3,1,0,1,0,0,0,5,0,5,0,0,0,174,161,335,11,7,18,193,169
04,Appanoose,15,1071,0109,Centerville,Centerville High School,0,0,0,0,0,0,0,0,0,0,103,99,104,118,424,3,2,5,0,0,0,3,2,5,1,0,1,1,0,1,220,190,410,1,1,2,229,195
04,Appanoose,15,1071,0209,Centerville,Howar Junior High School,0,0,0,0,0,0,0,0,106,95,0,0,0,0,201,1,2,3,0,0,0,1,3,4,1,1,2,0,0,0,102,90,192,0,0,0,105,96
04,Appanoose,15,1071,0405,Centerville,Centerville Community Preschool Bldg,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,19,0,0,0,13,6
04,Appanoose,15,1071,0409,Centerville,Central Ward Elementary School,0,50,56,59,0,0,0,0,0,0,0,0,0,0,165,2,0,2,0,0,0,0,0,0,2,2,4,0,0,0,76,82,158,1,0,1,81,84
04,Appanoose,15,1071,0412,Centerville,Lakeview Elementary,0,0,0,0,101,113,111,93,0,0,0,0,0,0,418,3,3,6,1,1,2,2,3,5,1,1,2,0,0,0,205,196,401,0,2,2,212,206
04,Appanoose,15,1071,0421,Centerville,Garfield Elementary School,0,25,22,22,0,0,0,0,0,0,0,0,0,0,69,1,0,1,1,0,1,0,1,1,2,0,2,0,0,0,30,34,64,0,0,0,34,35
04,Appanoose,15,1071,0436,Centerville,Lincoln Elementary School,0,25,20,21,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,1,1,0,2,2,1,0,1,0,0,0,28,33,61,1,0,1,30,36
04,Appanoose,15,1071,0454,Centerville,Centerville Early Childhood  Special Ed,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,3,2
04,Appanoose,15,1071,0801,Centerville,Kid's World Busy Bees Preschool,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20,0,0,0,11,9
04,Appanoose,15,1071,0806,Centerville,Centerville 4yr PK,63,1,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,28,34,62,0,1,1,29,35
56,Lee,15,1079,0109,Central Lee,Central Lee High School,0,0,0,0,0,0,0,0,0,0,91,91,82,88,352,6,8,14,3,2,5,1,1,2,0,1,1,0,0,0,170,155,325,2,3,5,182,170
56,Lee,15,1079,0209,Central Lee,Central Lee Middle School,0,0,0,0,0,0,0,85,89,78,0,0,0,0,252,2,2,4,0,1,1,1,0,1,0,2,2,0,0,0,122,120,242,1,1,2,126,126
56,Lee,15,1079,0427,Central Lee,Central Lee Elementary School,15,92,71,78,82,69,75,0,0,0,0,0,0,0,482,4,2,6,0,0,0,2,2,4,1,1,2,0,0,0,245,204,449,13,8,21,265,217
22,Clayton,01,1080,0109,Central,Central Community Jr-Sr High School,0,0,0,0,0,0,0,32,41,32,35,34,36,45,255,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,124,127,251,0,1,1,126,129
22,Clayton,01,1080,0409,Central,Elkader Elementary School,27,43,38,40,32,33,30,0,0,0,0,0,0,0,243,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,105,136,241,1,0,1,106,137
23,Clinton,09,1082,0109,Central Clinton,Central High School,0,0,0,0,0,0,0,0,0,0,129,119,140,123,511,8,5,13,3,1,4,2,1,3,6,5,11,0,1,1,243,235,478,1,0,1,263,248
23,Clinton,09,1082,0118,Central Clinton,Central Alternative Program,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,2,1
23,Clinton,09,1082,0209,Central Clinton,Central Middle School,0,0,0,0,0,0,0,0,104,116,0,0,0,0,220,6,3,9,0,1,1,0,0,0,5,1,6,0,0,0,101,102,203,0,1,1,112,108
23,Clinton,09,1082,0409,Central Clinton,Central Intermediate School,0,0,0,0,0,87,106,114,0,0,0,0,0,0,307,7,9,16,0,0,0,0,1,1,5,4,9,0,0,0,146,130,276,3,2,5,161,146
23,Clinton,09,1082,0431,Central Clinton,Ekstrand Elementary School,26,126,93,104,105,0,0,0,0,0,0,0,0,0,454,12,6,18,1,2,3,1,1,2,7,4,11,0,1,1,230,185,415,3,1,4,254,200
23,Clinton,09,1082,0801,Central Clinton,Creative Learning Center Preschool,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,13,12,25,0,0,0,15,13
23,Clinton,09,1082,0806,Central Clinton,Grace Lutheran Preschool,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,0,0,0,5,6
